galaxy_id,morph_type,Q,incl_deg,dist_Mpc,R_disc_kpc,R_last_kpc,R_out_kpc,N_outer,mean_Sigma_bar_outer,stratum,epsilon_umm,epsilon_baryon,epsilon_nfw,A_global,Upsilon_star,gas_source,notes
UGC00191,Sm,1,45.0,17.1,1.58,9.98,7.172000000000001,2,5.238737024377613,high,0.11256568814044618,0.4636711714986891,0.011477504043559534,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=6.941e+10;coverage=6.32
UGC00731,Im,1,57.0,12.5,2.3,10.91,7.91,4,4.888665742569404,intermediate,0.23640185306776512,0.5002072116213441,0.010844297736483394,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=5.012e+10;coverage=4.74
UGC01281,Sdm,1,90.0,5.27,1.63,4.99,3.517,4,3.995201713527589,intermediate,0.06855657525785516,0.5595191092476559,0.005444115012870633,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=2.818e+10;coverage=3.06
UGC02487,S0,1,36.0,69.1,7.89,80.38,59.24499999999999,5,1.2039486948488738,low,0.2998740863418427,0.5260259242305043,0.0074238897393827455,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=6.310e+12;coverage=10.19
UGC02885,Sc,1,64.0,80.6,11.4,74.07,52.358999999999995,6,5.025091235597774,high,0.07642027548478776,0.4320835400568536,0.00617368696091991,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=3.548e+12;coverage=6.50
UGC03205,Sab,1,67.0,50.0,3.19,40.04,28.112,4,2.7581714198923946,low,0.1573158981815468,0.46575006861238344,0.03750626050873394,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.259e+12;coverage=12.55
UGC03546,Sa,1,55.0,28.7,3.79,29.23,20.65,4,1.4521675253684392,low,0.171931903583264,0.37487581843723816,0.022014371256558172,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=7.079e+11;coverage=7.71
UGC04278,Sd,1,90.0,9.51,2.21,6.69,4.725,8,6.6487095432952295,high,0.07740464578380363,0.5410081730385616,0.008616842162241463,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.413e+11;coverage=3.03
UGC04325,Sm,1,41.0,9.6,1.86,5.59,4.122999999999999,3,9.761770576947905,high,0.08987963855883302,0.47019869292007677,0.022983760825513958,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.995e+11;coverage=3.01
UGC04499,Sdm,1,50.0,12.5,1.73,8.18,5.999,3,5.734815250477396,high,0.1689330277085477,0.432591188511702,0.009508812183647063,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=4.467e+10;coverage=4.73
UGC05005,Im,1,41.0,53.7,3.2,28.61,20.261,3,2.2193349164234313,low,0.22262819816358817,0.5510742873197265,0.01167916159479429,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.385e+11;coverage=8.94
UGC05721,Sd,1,61.0,6.18,0.38,6.74,4.745,5,3.801699054117871,intermediate,0.12663695445288922,0.623528612448748,0.013155999946963922,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.122e+11;coverage=17.74
UGC05750,Sdm,1,64.0,58.7,3.46,22.85,16.088,1,2.21226677868708,low,0.5025594568631523,0.45341037171976684,0.008969539867409575,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=5.513e+10;coverage=6.60
UGC06399,Sm,1,75.0,18.0,2.05,7.85,5.755999999999999,3,5.085809413845958,high,0.02840289775818604,0.49666389331696675,0.005021267011712206,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.000e+11;coverage=3.83
UGC06446,Sd,1,51.0,12.0,1.49,10.22,7.328,5,4.771495268007601,intermediate,0.07028837901732835,0.5354019803285834,0.019092525216481387,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=8.913e+10;coverage=6.86
UGC06614,Sa,1,36.0,88.7,5.1,64.59,46.182,2,2.2296210569803114,low,0.04432190865855565,0.5013545343742787,0.009265194504875627,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.259e+12;coverage=12.66
UGC06786,S0,1,64.0,29.3,3.6,34.05,23.883,5,1.3172774908933216,low,0.32396734039429875,0.5671809002603122,0.02002284491201961,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=2.239e+12;coverage=9.46
UGC06917,Sm,1,56.0,18.0,2.76,10.47,7.851,3,7.523508770933052,high,0.012274694289808291,0.44079564807248744,0.012170909806696927,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.778e+11;coverage=3.79
UGC06930,Sd,1,32.0,18.0,3.94,16.61,12.149,4,4.922044497592294,high,0.11282636967120982,0.41714287569470554,0.01047110971979954,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.413e+11;coverage=4.22
UGC06983,Scd,1,49.0,18.0,3.21,15.68,11.498,5,4.422639677133422,intermediate,0.041409178333719016,0.4977868092996148,0.005342761758547933,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.778e+11;coverage=4.88
UGC07125,Sm,1,90.0,19.8,3.38,18.68,13.507999999999997,4,3.187350418937708,intermediate,0.6870110333337055,0.31762963906653896,0.022024989153273535,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.956e+10;coverage=5.53
UGC07151,Scd,1,90.0,6.87,1.25,5.5,4.0,4,11.658301745721928,high,0.14694766519464064,0.35567811048162956,0.006467968230554446,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=4.020e+10;coverage=4.40
UGC07323,Sdm,1,47.0,8.0,2.26,5.82,4.247999999999999,3,15.445721440291322,high,0.17089344279816623,0.29911877605422815,0.015190627120211556,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=5.012e+10;coverage=2.58
UGC07399,Sdm,1,55.0,8.43,1.64,6.13,4.473999999999999,3,5.410533833288061,high,0.27883666233234145,0.646916633936714,0.004595790184715174,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=5.623e+11;coverage=3.74
UGC07524,Sm,1,46.0,4.74,3.46,10.69,7.587999999999999,9,5.836184625181612,high,0.20642664565483998,0.440023461892144,0.011631725370789693,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=5.623e+10;coverage=3.09
UGC07603,Sd,1,78.0,4.7,0.53,4.11,2.979,4,3.0145171651759783,intermediate,0.15463515452295515,0.5972153149731498,0.006824275542232271,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=6.310e+10;coverage=7.75
UGC08286,Scd,1,90.0,6.5,1.05,8.04,5.768999999999999,5,3.351376064070963,intermediate,0.09753594154573572,0.5810826770584546,0.010733981437308311,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.122e+11;coverage=7.66
UGC08490,Sm,1,50.0,4.65,0.67,10.15,7.207,9,2.2623768840643894,low,0.044879604213824566,0.6185104760124207,0.018567772541266674,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=7.943e+10;coverage=15.15
UGC08550,Sd,1,90.0,6.7,0.45,5.36,3.899,3,3.210339584389287,intermediate,0.06766955965076328,0.5693811759621095,0.016608008355844396,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=2.818e+10;coverage=11.91
UGC09133,Sab,1,53.0,57.1,6.97,108.31,75.913,9,1.2098065282486479,low,0.011764349217460869,0.5013935338685278,0.01537785676032845,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.585e+12;coverage=15.54
UGC11455,Scd,1,90.0,78.6,5.93,41.93,29.537,6,3.3746925139214476,intermediate,0.08618726301364825,0.274617545507807,0.029936579305521797,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.585e+12;coverage=7.07
UGC11820,Sm,1,45.0,18.1,2.08,15.82,11.152,2,3.2502319259057337,intermediate,0.23352392223973728,0.5353155967182943,0.0190403008445013,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=7.079e+10;coverage=7.61
UGC11914,Sab,1,31.0,16.9,2.44,9.83,6.965000000000001,3,66.47300198743442,high,0.10827163773195869,0.2267011194327191,0.03514348277170321,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.122e+13;coverage=4.03
UGC12632,Sm,1,46.0,9.77,2.42,10.66,7.674999999999999,5,3.9411139539998685,intermediate,0.20428147817745942,0.48472184554525455,0.010109521027839847,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=4.467e+10;coverage=4.40
UGC12732,Sm,1,39.0,13.2,1.98,15.4,11.068000000000001,5,4.01120211117648,intermediate,0.1415549262373692,0.527886547414507,0.026061151741525745,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.000e+11;coverage=7.78
UGCA442,Sm,1,64.0,4.35,1.18,6.33,4.5569999999999995,3,2.6901202812461675,low,0.04291480252396424,0.6252435075963833,0.008043159742744912,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=2.818e+10;coverage=5.36
